"Identifier","Instrument","AuthorsShortList","year","Unique_Ears","mean_absorbance","frequency","colorID"
"Abur_2014","HearID","Abur et al.",2014,14,0.0799282222691619,210.938003540039,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.0843750467866051,234.375,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.096607608307267,257.81201171875,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.105199249276929,281.25,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.116112878192596,304.68798828125,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.124792515328724,328.125,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.136796067170419,351.56201171875,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.148539663104302,375,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.160361196515055,398.43798828125,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.184802344502235,421.875,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.188706609361558,445.31201171875,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.20729482177721,468.75,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.219972178452097,492.18798828125,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.235803877429238,515.625,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.25380974783353,539.06201171875,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.277763511654826,562.5,"Abur et al. (2014) N=14; HearID"
"Abur_2014","HearID","Abur et al.",2014,14,0.294780423819106,585.93798828125,"Abur et al. (2014) N=14; HearID"
